yrdb_id,tr_title,ch_pinyin
yrdb854,宣和堡,xuanhe bao
yrdb855,宣大邊地,xuandabiandi
yrdb856,宣州,xuan zhou
yrdb857,宣曲,xuanqu
yrdb858,宣武衛,xuanwuwei
yrdb859,宣武場,xuanwuchang
yrdb860,宮河鎮,gonghe zhen
yrdb861,寬叠連不剌站,kuandielianbula zhan
yrdb862,宿南廳,sunan ting
yrdb863,宿嵬口,suwei kou
yrdb864,宿州,su zhou
yrdb865,宿胥口,suxu kou
yrdb866,宿遷縣,suqian xian
yrdb867,密,mi
yrdb868,密州,mi zhou
yrdb869,密艾亭,miai ting
yrdb870,富家堡,fujia pu
yrdb871,富平,fuping
yrdb873,寒溝驛,hangou yi
