evtp_id,place_id,event,attestation
evtp_525,yrdb134,ev_3392,ds_1438
evtp_526,yrdb134,ev_3413,ds_1438
evtp_527,yrdb134,ev_3437,ds_1438
evtp_528,yrdb134,ev_3744,ds_1438
evtp_529,yrdb134,ev_3018,ds_1438
evtp_530,yrdb135,ev_3463,ds_313
evtp_531,yrdb135,ev_3465,ds_313
evtp_532,yrdb135,ev_3468,ds_313
evtp_533,yrdb1992,ev_3463,ds_313
evtp_534,yrdb1992,ev_3465,ds_313
evtp_535,yrdb1992,ev_3468,ds_313
evtp_536,yrdb139,ev_2650,ds_28
evtp_537,yrdb139,ev_2638,ds_28
evtp_538,yrdb1471,ev_2650,ds_28
evtp_539,yrdb1471,ev_2638,ds_28
evtp_540,yrdb139,ev_2141,ds_51
evtp_541,yrdb1363,ev_2141,ds_51
evtp_542,yrdb139,ev_2571,ds_320
evtp_543,yrdb139,ev_2672,ds_320
evtp_544,yrdb1765,ev_2571,ds_320
evtp_545,yrdb1765,ev_2672,ds_320
evtp_546,yrdb3222,ev_2571,ds_320
evtp_547,yrdb3222,ev_2672,ds_320
evtp_548,yrdb139,ev_1756,ds_608
evtp_549,yrdb139,ev_2008,ds_608
evtp_550,yrdb139,ev_2381,ds_608
evtp_551,yrdb139,ev_2391,ds_608
evtp_552,yrdb139,ev_3409,ds_608
evtp_553,yrdb139,ev_1851,ds_608
evtp_554,yrdb139,ev_1759,ds_608
evtp_555,yrdb3032,ev_1756,ds_608
evtp_556,yrdb3032,ev_2008,ds_608
evtp_557,yrdb3032,ev_2381,ds_608
evtp_558,yrdb3032,ev_2391,ds_608
evtp_559,yrdb3032,ev_3409,ds_608
evtp_560,yrdb3032,ev_1851,ds_608
evtp_561,yrdb3032,ev_1759,ds_608
evtp_562,yrdb139,ev_3702,ds_739
evtp_563,yrdb2678,ev_3702,ds_739
evtp_564,yrdb139,ev_1832,ds_832
evtp_565,yrdb139,ev_1844,ds_832
evtp_566,yrdb139,ev_1845,ds_832
evtp_567,yrdb139,ev_1846,ds_832
evtp_568,yrdb139,ev_1847,ds_832
evtp_569,yrdb139,ev_1848,ds_832
evtp_570,yrdb139,ev_1873,ds_832
evtp_571,yrdb139,ev_1930,ds_832
evtp_572,yrdb139,ev_1923,ds_832
evtp_573,yrdb2840,ev_1832,ds_832
evtp_574,yrdb2840,ev_1844,ds_832
evtp_575,yrdb2840,ev_1845,ds_832
evtp_576,yrdb2840,ev_1846,ds_832
evtp_577,yrdb2840,ev_1847,ds_832
evtp_578,yrdb2840,ev_1848,ds_832
evtp_579,yrdb2840,ev_1873,ds_832
evtp_580,yrdb2840,ev_1930,ds_832
evtp_581,yrdb2840,ev_1923,ds_832
evtp_582,yrdb139,ev_1207,ds_1044
evtp_583,yrdb139,ev_1465,ds_1044
evtp_584,yrdb139,ev_1480,ds_1044
evtp_585,yrdb139,ev_1565,ds_1044
evtp_586,yrdb139,ev_1588,ds_1044
evtp_587,yrdb139,ev_1625,ds_1044
