name_id,name,ch_pinyin,yrdb_id,attestation
nm_0470,原亭,yuan ting,yrdb375,us_20112
nm_0471,原平站,yuanping zhan,yrdb376,us_70402
nm_0472,原平站,yuanping zhan,yrdb376, us_80852
nm_0473,原村,yuan cun,yrdb378,ds_797
nm_0474,原武,yuanwu,yrdb379,ds_553
nm_0475,原武縣,yuanwu xian,yrdb380,ds_10
nm_0476,原武縣,yuanwu xian,yrdb380, ds_222
nm_0477,原武縣,yuanwu xian,yrdb380, ds_242
nm_0478,原武縣,yuanwu xian,yrdb380, ds_443
nm_0479,原武縣,yuanwu xian,yrdb380, ds_624
nm_0480,原武縣,yuanwu xian,yrdb380, ds_1289
nm_0481,原陽,yuanyang,yrdb381,us_20018
nm_0482,縣頭鎮,xiantou zhen,yrdb382,us_80276
nm_0483,參合陘,canhexing,yrdb383,us_40141
nm_0484,雙城堡,shuangcheng bao,yrdb384,us_81091
nm_0485,雙堌集,shuanggu ji,yrdb385,ds_541
nm_0486,雙山堡,shuangshan bao,yrdb386,us_70334
nm_0487,雙山堡,shuangshan bao,yrdb386, us_80050
nm_0488,雙峰堡,shuangfeng bao,yrdb387,us_70255
