ptty_id,place_id,ft_id
ptty_1791,yrdb1884,yft_8
ptty_1793,yrdb1886,yft_14
ptty_1794,yrdb1888,yft_13
ptty_1795,yrdb1889,yft_42
ptty_1796,yrdb1890,yft_9
ptty_1797,yrdb1891,yft_13
ptty_1798,yrdb1892,yft_5
ptty_1799,yrdb1893,yft_33
ptty_180,yrdb191,yft_14
ptty_1800,yrdb1894,yft_5
ptty_1801,yrdb1895,yft_9
ptty_1802,yrdb1896,yft_5
ptty_1803,yrdb1897,yft_18
ptty_1804,yrdb1898,yft_6
ptty_1805,yrdb1899,yft_2
ptty_1807,yrdb1903,yft_4
ptty_1808,yrdb1904,yft_2
ptty_1809,yrdb1905,yft_36
ptty_181,yrdb192,yft_15
ptty_1811,yrdb1907,yft_7
ptty_1812,yrdb1907,yft_12
ptty_1814,yrdb1909,yft_5
ptty_1816,yrdb1911,yft_6
ptty_1817,yrdb1912,yft_9
ptty_1818,yrdb1913,yft_5
ptty_1819,yrdb1914,yft_15
ptty_182,yrdb193,yft_4
ptty_1820,yrdb1915,yft_14
ptty_1821,yrdb1916,yft_15
ptty_1822,yrdb1917,yft_14
ptty_1825,yrdb1920,yft_17
ptty_1826,yrdb1920,yft_27
ptty_1827,yrdb1921,yft_9
ptty_1828,yrdb1922,yft_19
ptty_1831,yrdb1925,yft_32
ptty_1832,yrdb1926,yft_6
ptty_1833,yrdb1927,yft_33
ptty_1835,yrdb1929,yft_8
ptty_1836,yrdb1930,yft_6
ptty_1837,yrdb1931,yft_20
ptty_1838,yrdb1931,yft_29
ptty_1840,yrdb1933,yft_5
ptty_1841,yrdb1934,yft_14
ptty_1842,yrdb1935,yft_6
ptty_1843,yrdb1936,yft_6
ptty_1844,yrdb1937,yft_33
ptty_1845,yrdb1938,yft_20
ptty_1846,yrdb1938,yft_29
ptty_1847,yrdb1939,yft_20
ptty_1848,yrdb1939,yft_29
ptty_1849,yrdb1940,yft_9
ptty_185,yrdb196,yft_30
ptty_1850,yrdb1941,yft_14
ptty_1853,yrdb1945,yft_13
ptty_1854,yrdb1946,yft_47
ptty_1855,yrdb1947,yft_36
ptty_1857,yrdb1949,yft_3
ptty_1858,yrdb1950,yft_13
ptty_1859,yrdb1951,yft_18
ptty_186,yrdb197,yft_25
ptty_1860,yrdb1952,yft_5
ptty_1862,yrdb1954,yft_16
ptty_1864,yrdb1956,yft_13
ptty_1865,yrdb1957,yft_36
ptty_1866,yrdb1958,yft_9
ptty_1867,yrdb1959,yft_32
ptty_1868,yrdb1960,yft_25
ptty_1869,yrdb1961,yft_9
ptty_187,yrdb198,yft_9
ptty_1870,yrdb1962,yft_40
ptty_1872,yrdb1964,yft_6
ptty_1873,yrdb1966,yft_14
ptty_1874,yrdb1967,yft_5
ptty_1875,yrdb1968,yft_41
ptty_1877,yrdb1970,yft_6
ptty_1878,yrdb1971,yft_5
ptty_1879,yrdb1972,yft_9
ptty_188,yrdb199,yft_5
ptty_1880,yrdb1973,yft_32
ptty_1881,yrdb1974,yft_37
ptty_1882,yrdb1975,yft_32
ptty_1884,yrdb1977,yft_17
ptty_1885,yrdb1977,yft_27
